BROKERTITLE,TYPE,PRICE,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
"Brokered by Exit Alliance Realty","Co-op for sale",199000,1,2166,"8900 170th St Apt 7D","Jamaica, NY 11432","8900 170th St Apt 7D, Jamaica, NY 11432","New York","Queens County",Queens,Jamaica,89-00,"89-00 170th St #7e, Jamaica, NY 11432, USA",40.7092156,-73.7912209
"Brokered by B Square Realty","House for sale",899000,2.5,2168,"36-34 Clearview Expy","Bayside, NY 11361","36-34 Clearview Expy, Bayside, NY 11361","United States","New York","Queens County",Queens,"Clearview Expressway","36-34 Clearview Expy, Bayside, NY 11361, USA",40.7646585,-73.780903
"Brokered by TALK OF THE TOWN REALTY C","House for sale",699000,2,2350,"2138 Coleman St","Brooklyn, NY 11234","2138 Coleman St, Brooklyn, NY 11234","United States","New York","Kings County",Brooklyn,"Coleman Street","2138 Coleman St, Brooklyn, NY 11234, USA",40.6095856,-73.9253159
"Brokered by The Agency","Condo for sale",27750000,8,8139,"551 W 21st St Unit 15AB","New York, NY 10011","551 W 21st St Unit 15AB, New York, NY 10011","New York","New York County","New York",Manhattan,551,"551 W 21st St #15a, New York, NY 10011, USA",40.7474926,-74.0072666
"Brokered by Keller Williams Realty Elite","House for sale",739000,1,1148,"248-08 82nd Ave","Bellerose, NY 11426","248-08 82nd Ave, Bellerose, NY 11426","United States","New York","Queens County",Queens,"82nd Avenue","248-08 82nd Ave, Jamaica, NY 11426, USA",40.7386816,-73.7202723
"Brokered by Re/Max Elite","House for sale",569000,3,1780,"267 Robinson Ave","Bronx, NY 10465","267 Robinson Ave, Bronx, NY 10465","United States","New York","Bronx County","The Bronx","Robinson Avenue","267 Robinson Ave, Bronx, NY 10465, USA",40.8147819,-73.8265252
"Brokered by Corcoran Long Island City","Co-op for sale",350000,1,825,"274 S 2nd St Apt 30","Brooklyn, NY 11211","274 S 2nd St Apt 30, Brooklyn, NY 11211","New York","Kings County",Brooklyn,Williamsburg,274,"274 S 2nd St Apartment 30, Brooklyn, NY 11211, USA",40.711175,-73.957086
"Brokered by Corcoran Brooklyn Heights",Pending,5895000,5,6312,"219 Frost St","Brooklyn, NY 11211","219 Frost St, Brooklyn, NY 11211","United States","New York","Kings County",Brooklyn,"Frost Street","219 Frost St, Brooklyn, NY 11211, USA",40.7185648,-73.9422548
"Brokered by Douglas Elliman - 156 Montague","Townhouse for sale",1499999,2,2264,"3623 Avenue T","Brooklyn, NY 11234","3623 Avenue T, Brooklyn, NY 11234","United States","New York","Kings County",Brooklyn,"Avenue T","3623 Avenue T, Brooklyn, NY 11234, USA",40.6087059,-73.9290715
"Brokered by Brownstone Real Estate LLC - Carroll Gardens","Multi-family home for sale",1488000,2,2203,"7302 11th Ave","Brooklyn, NY 11228","7302 11th Ave, Brooklyn, NY 11228","United States","New York","Kings County",Brooklyn,"11th Avenue","7302 11th Ave, Brooklyn, NY 11228, USA",40.624169,-74.010925
"Brokered by Sell Your Home NY Inc","Multi-family home for sale",699000,3,2177,"114-48 127th St","South Ozone Park, NY 11420","114-48 127th St, South Ozone Park, NY 11420","United States","New York","Queens County",Queens,"127th Street","11448 127th St, Jamaica, NY 11420, USA",40.6793322,-73.8130504
"Brokered by Liberty Chateau Realty Inc","House for sale",924900,2,1404,"1559 W 4th St","Brooklyn, NY 11204","1559 W 4th St, Brooklyn, NY 11204","United States","New York","Kings County",Brooklyn,"West 4th Street","1559 W 4th St, Brooklyn, NY 11204, USA",40.6094348,-73.9777343
"Brokered by Mach Realty Llc",Foreclosure,560000,2,2318,"456 E 134th St","Bronx, NY 10454","456 E 134th St, Bronx, NY 10454","United States","New York","Bronx County","The Bronx","East 134th Street","456 E 134th St, Bronx, NY 10454, USA",40.8056419,-73.9229736
"Brokered by Century 21 Realty First","Multi-family home for sale",1998000,8,5100,"4015 Atlantic Ave","Brooklyn, NY 11224","4015 Atlantic Ave, Brooklyn, NY 11224","United States","New York","Kings County",Brooklyn,"Atlantic Avenue","4015 Atlantic Ave, Brooklyn, NY 11224, USA",40.5745179,-74.0068304
"Brokered by KELLER WILLIAMS REALTY LANDMARK II",Pending,309000,2,2168,"151-40 88 St Unit 5J","Howard Beach, NY 11414","151-40 88 St Unit 5J, Howard Beach, NY 11414","New York","Queens County",Queens,"Howard Beach",151-40,"151-40 88th St #5j, Howard Beach, NY 11414, USA",40.6674344,-73.8479327
"Brokered by Landmark International R E Llc","House for sale",999000,2,2181,"65-07 181st St","Fresh Meadows, NY 11365","65-07 181st St, Fresh Meadows, NY 11365","United States","New York","Queens County",Queens,"181st Street","65-07 181st St, Flushing, NY 11365, USA",40.7365353,-73.7913358
"Brokered by B Square Realty","Condo for sale",699000,2,833,"214-10 15 Ave Unit 4B","Bayside, NY 11360","214-10 15 Ave Unit 4B, Bayside, NY 11360","New York","Queens County",Queens,Bayside,"214- 10","214- 10 15th Ave #4b, Bayside, NY 11360, USA",40.7873388,-73.7794685
"Brokered by Apple Realty Group Corp","Co-op for sale",278500,1,2171,"65-38 Booth St Unit 6E","Rego Park, NY 11374","65-38 Booth St Unit 6E, Rego Park, NY 11374","New York","Queens County",Queens,"Rego Park",65-38,"65-38 Booth St #6e, Rego Park, NY 11374, USA",40.7267837,-73.8587799
"Brokered by COMPASS","Co-op for sale",738000,2,2192,"303 E 57th St Apt 39A","Manhattan, NY 10022","303 E 57th St Apt 39A, Manhattan, NY 10022","New York","New York County","New York",Manhattan,303,"303 E 57th St #39a, New York, NY 10022, USA",40.7595774,-73.964779
"Brokered by COMPASS","House for sale",900000,4,2700,"12-14 W 5th Rd","Queens, NY 11693","12-14 W 5th Rd, Queens, NY 11693","United States","New York","Queens County",Queens,"West 5th Road","12 W 5th Rd, Broad Channel, NY 11693, USA",40.6110299,-73.8195062
"Brokered by Re/Max Elite","Co-op for sale",369000,1,1470,"12310 Ocean Promenade Apt 7H","Rockaway Park, NY 11694","12310 Ocean Promenade Apt 7H, Rockaway Park, NY 11694","New York","Queens County",Queens,"Rockaway Park",123-10,"123-10 Ocean Prom #7h, Rockaway Park, NY 11694, USA",40.5756358,-73.8423199
"Brokered by Premium Choice Realty Corp","House for sale",609000,2,1620,"4384 Locust Point Dr","Bronx, NY 10465","4384 Locust Point Dr, Bronx, NY 10465","United States","New York","Bronx County","The Bronx","Locust Point Drive","4384 Locust Point Dr, Bronx, NY 10465, USA",40.8165837,-73.8006996
"Brokered by Keller Williams Rlty Landmark","Condo for sale",758000,2,1278,"3-27 Endeavor Pl Unit C","College Point, NY 11356","3-27 Endeavor Pl Unit C, College Point, NY 11356","United States","New York","Queens County",Queens,"Endeavor Place","327 Endeavor Pl, College Point, NY 11356, USA",40.7928823,-73.8449212
"Brokered by Gillani Homes Inc.","Condo for sale",728000,2,1890,"166 Rolling Hill Grn","Staten Island, NY 10312","166 Rolling Hill Grn, Staten Island, NY 10312","United States","New York","Richmond County","Staten Island","Rolling Hill Green","166 Rolling Hill Green, Staten Island, NY 10312, USA",40.55065,-74.193355
"Brokered by Liberty Chateau Realty Inc","House for sale",314900,3,1200,"595 Glenmore Ave","Brooklyn, NY 11207","595 Glenmore Ave, Brooklyn, NY 11207","United States","New York","Kings County",Brooklyn,"Glenmore Avenue","595 Glenmore Ave, Brooklyn, NY 11207, USA",40.6744942,-73.8883757
"Brokered by Julia Shildkret Real Estate","House for sale",2848000,2.5,4443,"85-16 Chevy Chase St","Jamaica, NY 11432","85-16 Chevy Chase St, Jamaica, NY 11432","United States","New York","Queens County",Queens,"Chevy Chase Street","85-16 Chevy Chase St, Jamaica, NY 11432, USA",40.7202893,-73.7786927
"Brokered by Tscherne Realty Inc","House for sale",1298000,2,2046,"62-15 82nd Pl","Middle Village, NY 11379","62-15 82nd Pl, Middle Village, NY 11379","United States","New York","Queens County",Queens,"82nd Place","62-15 82nd Pl, Flushing, NY 11379, USA",40.7239521,-73.8747783
"Brokered by Link Ny Realty","Multi-family home for sale",1375000,8,6000,"1826 Radcliff Ave","Bronx, NY 10462","1826 Radcliff Ave, Bronx, NY 10462","United States","New York","Bronx County","The Bronx","Radcliff Avenue","1826 Radcliff Ave, Bronx, NY 10462, USA",40.8485623,-73.8574586
"Brokered by O Kane Realty","Co-op for sale",549000,2,1200,"69-10 108 St Unit 6O","Forest Hills, NY 11375","69-10 108 St Unit 6O, Forest Hills, NY 11375","New York","Queens County",Queens,"Forest Hills",69-10,"69-10 108th St #6c, Forest Hills, NY 11375, USA",40.724514,-73.8458441
"Brokered by Sotheby's International Realty, Inc.","Townhouse for sale",5600000,6,4917,"111 E 19th St","New York, NY 10003","111 E 19th St, New York, NY 10003","United States","New York","New York County","New York","East 19th Street","111 E 19th St, New York, NY 10003, USA",40.7375348,-73.9872447
"Brokered by Strictly Realty","Multi-family home for sale",1600000,6,3472,"85-29 66th Ave","Rego Park, NY 11374","85-29 66th Ave, Rego Park, NY 11374","United States","New York","Queens County",Queens,"66th Avenue","85-29 66th Ave, Flushing, NY 11374, USA",40.7189686,-73.8626041
"Brokered by Douglas Elliman - Franklin Square","Multi-family home for sale",1399000,2,2169,"61-29 75th St","Middle Village, NY 11379","61-29 75th St, Middle Village, NY 11379","United States","New York","Queens County",Queens,"75th Street","61-29 75th St, Flushing, NY 11379, USA",40.721725,-73.8839773
"Brokered by Prime Realty",Pending,999000,2,2163,"59-14 69th St","Maspeth, NY 11378","59-14 69th St, Maspeth, NY 11378","United States","New York","Queens County",Queens,"69th Street","59-14 69th St, Flushing, NY 11378, USA",40.7227469,-73.8941061
"Brokered by BHHS New York Properties","Townhouse for sale",2200000,3,2385,"484 A 7th Ave","Brooklyn, NY 11215","484 A 7th Ave, Brooklyn, NY 11215","United States","New York","Kings County",Brooklyn,"7th Avenue","484A 7th Ave, Brooklyn, NY 11215, USA",40.6621056,-73.9857576
"Brokered by Project Queens LLC","Multi-family home for sale",898888,2,1550,"24907 88th Rd","Bellerose, NY 11426","24907 88th Rd, Bellerose, NY 11426","United States","New York","Queens County",Queens,"88th Road","249-07 88th Rd, Jamaica, NY 11426, USA",40.7282381,-73.7158123
"Brokered by Compass Greater New York, LLC","Multi-family home for sale",1188000,2,2240,"1861 82nd St","Brooklyn, NY 11214","1861 82nd St, Brooklyn, NY 11214","United States","New York","Kings County",Brooklyn,"82nd Street","1861 82nd St, Brooklyn, NY 11214, USA",40.6085532,-73.998257
"Brokered by Coldwell Banker Advantage","Multi-family home for sale",869999,3,2080,"428 Bradley Ave","Staten Island, NY 10314","428 Bradley Ave, Staten Island, NY 10314","United States","New York","Richmond County","Staten Island","Bradley Avenue","428 Bradley Ave, Staten Island, NY 10314, USA",40.6005525,-74.1314512
"Brokered by Top Nest Inc","Co-op for sale",219000,1,1050,"2229 Knapp St Apt 2A","Brooklyn, NY 11229","2229 Knapp St Apt 2A, Brooklyn, NY 11229","New York","Kings County",Brooklyn,"Gerritsen Beach",2229,"2229 Knapp St #2a, Brooklyn, NY 11229, USA",40.5988908,-73.9334675
"Brokered by R Jaundoo Realty Llc","Co-op for sale",298000,2,1100,"1425 Thieriot Ave Apt 6L","Bronx, NY 10460","1425 Thieriot Ave Apt 6L, Bronx, NY 10460","New York","Bronx County","The Bronx","East Bronx",1425,"1425 Thieriot Ave #6l, Bronx, NY 10460, USA",40.8363242,-73.8654755
"Brokered by Re/Max Edge","House for sale",1248888,4,3500,"25 Tarring St","Staten Island, NY 10306","25 Tarring St, Staten Island, NY 10306","United States","New York","Richmond County","Staten Island","Tarring Street","25 Tarring St, Staten Island, NY 10306, USA",40.5646314,-74.1243252
"Brokered by Corcoran East Side",Pending,1075000,2,955,"313 W 118th St Apt 3D","New York, NY 10026","313 W 118th St Apt 3D, New York, NY 10026","New York","New York County","New York",Manhattan,313,"313 W 118th St #3d, New York, NY 10026, USA",40.8061576,-73.9550949
"Brokered by Corcoran Park Slope",Pending,1695000,2,1572,"633 Prospect Pl Apt 1","Brooklyn, NY 11216","633 Prospect Pl Apt 1, Brooklyn, NY 11216","New York","Kings County",Brooklyn,"Crown Heights",633,"633 Prospect Pl #1, Brooklyn, NY 11216, USA",40.6750114,-73.9554645
"Brokered by Sold By Bart R E Partners Inc","Condo for sale",550000,2,2201,"62-48 Mount Olivet Cres Unit 1B","Middle Village, NY 11379","62-48 Mount Olivet Cres Unit 1B, Middle Village, NY 11379","New York","Queens County",Queens,Flushing,6248,"6248 Mt Olivet Crescent APT 1A, Flushing, NY 11379, USA",40.7135475,-73.895855
"Brokered by Sotheby's International Realty - Downtown Manhattan","Co-op for sale",775000,1,2163,"46 Commerce St # 5","New York, NY 10014","46 Commerce St # 5, New York, NY 10014","New York","New York County","New York",Manhattan,46,"46 Commerce St # 5, New York, NY 10014, USA",40.7313539,-74.0050572
"Brokered by Wonica REALTORS & Appraisers",Foreclosure,249900,2,800,"1100 Clove Rd Unit G0","Staten Island, NY 10301","1100 Clove Rd Unit G0, Staten Island, NY 10301","United States","New York","Richmond County","Staten Island","Clove Road","1100 Clove Rd, Staten Island, NY 10301, USA",40.6189484,-74.1071576
"Brokered by Keller Williams Realty Empire","House for sale",650000,1,1152,"318 Arthur Kill Rd","Staten Island, NY 10308","318 Arthur Kill Rd, Staten Island, NY 10308","United States","New York","Richmond County","Staten Island","Arthur Kill Road","318 Arthur Kill Rd, Staten Island, NY 10308, USA",40.5663057,-74.1529549
"Brokered by Corcoran Brooklyn Heights","Co-op for sale",410000,1,2194,"8701 Shore Rd Apt 435","Brooklyn, NY 11209","8701 Shore Rd Apt 435, Brooklyn, NY 11209","New York","Kings County",Brooklyn,"Fort Hamilton",8701,"8701 Shore Rd Apt 435, Brooklyn, NY 11209, USA",40.6249201,-74.0404698
"Brokered by Momentum Real Estate Llc","Multi-family home for sale",1650000,5,4320,"2331 W 12th St","Brooklyn, NY 11223","2331 W 12th St, Brooklyn, NY 11223","United States","New York","Kings County",Brooklyn,"West 12th Street","2331 W 12th St, Brooklyn, NY 11223, USA",40.5906586,-73.9818321
"Brokered by Brown Harris Stevens",Pending,1600000,2,1100,"159 W 24th St Apt 5B","Manhattan, NY 10011","159 W 24th St Apt 5B, Manhattan, NY 10011","New York","New York County","New York",Manhattan,159,"159 W 24th St #5b, New York, NY 10011, USA",40.7448219,-73.9944632
"Brokered by Douglas Elliman - Bayside","Co-op for sale",325000,1,2169,"67-12 Yellowstone Blvd Unit B1","Forest Hills, NY 11375","67-12 Yellowstone Blvd Unit B1, Forest Hills, NY 11375","New York","Queens County",Queens,Flushing,67-12,"67-12 Yellowstone Blvd #1b, Flushing, NY 11375, USA",40.7280894,-73.8494828
"Brokered by Precious Properties Corp.",Contingent,275000,1,900,"177 3rd St Unit 1","Staten Island, NY 10306","177 3rd St Unit 1, Staten Island, NY 10306","New York","Richmond County","Staten Island","New Dorp",177,"177 3rd St #1, Staten Island, NY 10306, USA",40.5735927,-74.1200228
"Brokered by Chase Global Realty Corp","House for sale",930000,2,2183,"32-16 61st St","Woodside, NY 11377","32-16 61st St, Woodside, NY 11377","United States","New York","Queens County",Queens,"61st Street","32-16 61st St, Flushing, NY 11377, USA",40.7555333,-73.9016851
"Brokered by BEN BAY REALTY, CO.","House for sale",1150000,2.5,1376,"2234 62nd St","Brooklyn, NY 11204","2234 62nd St, Brooklyn, NY 11204","United States","New York","Kings County",Brooklyn,"62nd Street","2234 62nd St, Brooklyn, NY 11204, USA",40.6149237,-73.9789281
"Brokered by Mjr Real Estate Llc","Co-op for sale",568888,2,1100,"98-05 63 Rd Unit 4E","Rego Park, NY 11374","98-05 63 Rd Unit 4E, Rego Park, NY 11374","United States","New York","Queens County",Queens,"63rd Road","98-05 63rd Rd, Rego Park, NY 11374, USA",40.7322223,-73.8588845
"Brokered by Connie Profaci Realty","House for sale",1200000,3,2052,"244 Four Corners Rd","Staten Island, NY 10304","244 Four Corners Rd, Staten Island, NY 10304","United States","New York","Richmond County","Staten Island","4 Corners Road","244 4 Corners Rd, Staten Island, NY 10304, USA",40.59194,-74.1087406
"Brokered by Wonica REALTORS & Appraisers",Foreclosure,899900,3,2550,"712 Katan Ave","Staten Island, NY 10312","712 Katan Ave, Staten Island, NY 10312","United States","New York","Richmond County","Staten Island","Katan Avenue","712 Katan Ave, Staten Island, NY 10312, USA",40.5499354,-74.1709931
"Brokered by Island Advantage Realty LLC",Foreclosure,750000,3,3098,"3037 Richmond Rd","Staten Island, NY 10306","3037 Richmond Rd, Staten Island, NY 10306","United States","New York","Richmond County","Staten Island","Richmond Road","3037 Richmond Rd, Staten Island, NY 10306, USA",40.5758238,-74.1227343
"Brokered by Prodigy Real Estate Inc.","House for sale",669999,2,1196,"416 Colon Ave","Staten Island, NY 10308","416 Colon Ave, Staten Island, NY 10308","United States","New York","Richmond County","Staten Island","Colon Avenue","416 Colon Ave, Staten Island, NY 10308, USA",40.5598117,-74.1585168
"Brokered by American Homes Group","House for sale",548800,4,1440,"89 Taft Ave","Staten Island, NY 10301","89 Taft Ave, Staten Island, NY 10301","United States","New York","Richmond County","Staten Island","Taft Avenue","89 Taft Ave, Staten Island, NY 10301, USA",40.6409456,-74.0859933
"Brokered by Peter Ashe Real Estate- Peter Ashe Real Estate","Townhouse for sale",28500000,9,12300,"14 E 69th St Unit Townhouse","New York, NY 10021","14 E 69th St Unit Townhouse, New York, NY 10021","United States","New York","New York County","New York","East 69th Street","14 E 69th St, New York, NY 10021, USA",40.7699341,-73.9675072
